site,sci_name,common_name,length_mm,mass_g
pond_a,Lepomis macrochirus,Bluegill,118.99,52.93
pond_a,Lepomis macrochirus,Bluegill,121.42,53.13
pond_a,Lepomis macrochirus,Bluegill,117.28,53.53
pond_a,Lepomis macrochirus,Bluegill,108.46,47.05
pond_a,Lepomis macrochirus,Bluegill,127.77,56.70
pond_a,Lepomis macrochirus,Bluegill,129.99,63.76
pond_a,Lepomis macrochirus,Bluegill,123.26,50.81
pond_a,Lepomis macrochirus,Bluegill,122.60,55.32
pond_a,Lepomis macrochirus,Bluegill,110.81,50.70
pond_a,Lepomis macrochirus,Bluegill,128.66,55.96
pond_a,Lepomis macrochirus,Bluegill,114.03,57.41
pond_a,Lepomis macrochirus,Bluegill,118.19,53.58
pond_a,Lepomis macrochirus,Bluegill,100.29,47.40
pond_a,Lepomis macrochirus,Bluegill,123.30,56.08
pond_a,Lepomis macrochirus,Bluegill,113.88,46.52
pond_a,Lepomis macrochirus,Bluegill,131.52,60.60
pond_a,Lepomis macrochirus,Bluegill,134.50,53.89
pond_a,Lepomis macrochirus,Bluegill,108.76,50.18
pond_a,Lepomis macrochirus,Bluegill,130.31,61.63
pond_a,Lepomis macrochirus,Bluegill,124.73,57.34
pond_a,Lepomis macrochirus,Bluegill,133.61,61.79
pond_a,Lepomis macrochirus,Bluegill,112.46,53.66
pond_a,Lepomis macrochirus,Bluegill,119.69,52.85
pond_a,Lepomis macrochirus,Bluegill,123.68,50.52
pond_a,Lepomis macrochirus,Bluegill,122.50,59.44
pond_a,Lepomis macrochirus,Bluegill,136.48,62.47
pond_a,Lepomis macrochirus,Bluegill,121.67,54.87
pond_a,Lepomis macrochirus,Bluegill,113.36,52.03
pond_a,Lepomis macrochirus,Bluegill,126.08,56.20
pond_a,Lepomis macrochirus,Bluegill,117.57,59.16
pond_a,Lepomis macrochirus,Bluegill,112.82,48.91
pond_a,Lepomis macrochirus,Bluegill,120.93,54.26
pond_a,Lepomis macrochirus,Bluegill,118.70,56.76
pond_a,Lepomis macrochirus,Bluegill,117.74,53.96
pond_a,Lepomis macrochirus,Bluegill,120.12,54.25
pond_a,Lepomis macrochirus,Bluegill,128.47,58.74
pond_a,Lepomis macrochirus,Bluegill,125.36,57.37
pond_a,Lepomis macrochirus,Bluegill,124.73,53.84
pond_a,Lepomis macrochirus,Bluegill,112.25,51.68
pond_a,Lepomis macrochirus,Bluegill,115.24,47.97
pond_a,Lepomis macrochirus,Bluegill,104.11,48.63
pond_a,Lepomis macrochirus,Bluegill,121.46,52.46
pond_a,Lepomis macrochirus,Bluegill,127.98,56.92
pond_a,Lepomis macrochirus,Bluegill,117.47,46.89
pond_a,Lepomis macrochirus,Bluegill,106.58,47.80
pond_a,Lepomis macrochirus,Bluegill,117.34,53.16
pond_a,Lepomis macrochirus,Bluegill,115.45,54.11
pond_a,Lepomis macrochirus,Bluegill,121.23,55.72
pond_a,Lepomis macrochirus,Bluegill,123.22,55.92
pond_a,Lepomis macrochirus,Bluegill,111.71,45.03
pond_a,Lepomis macrochirus,Bluegill,117.77,54.32
pond_a,Lepomis macrochirus,Bluegill,116.41,52.33
pond_a,Lepomis macrochirus,Bluegill,116.82,54.01
pond_a,Lepomis macrochirus,Bluegill,115.09,48.20
pond_a,Lepomis macrochirus,Bluegill,117.49,54.28
pond_a,Lepomis macrochirus,Bluegill,121.13,53.30
pond_a,Lepomis macrochirus,Bluegill,112.48,53.36
pond_a,Lepomis macrochirus,Bluegill,113.75,46.53
pond_a,Lepomis macrochirus,Bluegill,120.20,58.74
pond_a,Lepomis macrochirus,Bluegill,123.62,54.65
pond_a,Lepomis macrochirus,Bluegill,113.50,47.78
pond_a,Lepomis macrochirus,Bluegill,120.87,49.30
pond_a,Lepomis macrochirus,Bluegill,132.49,58.64
pond_a,Lepomis macrochirus,Bluegill,110.41,48.37
pond_a,Lepomis macrochirus,Bluegill,121.85,51.21
pond_a,Lepomis auritus,Redbreast sunfish,131.70,64.29
pond_a,Lepomis auritus,Redbreast sunfish,116.89,64.12
pond_a,Lepomis auritus,Redbreast sunfish,122.91,63.04
pond_a,Lepomis auritus,Redbreast sunfish,133.72,60.14
pond_a,Lepomis auritus,Redbreast sunfish,106.83,52.10
pond_a,Lepomis auritus,Redbreast sunfish,128.83,59.69
pond_a,Lepomis auritus,Redbreast sunfish,110.06,54.32
pond_a,Lepomis auritus,Redbreast sunfish,117.94,59.23
pond_a,Lepomis auritus,Redbreast sunfish,112.29,56.02
pond_a,Lepomis auritus,Redbreast sunfish,105.70,47.20
pond_a,Lepomis auritus,Redbreast sunfish,132.34,64.03
pond_a,Lepomis auritus,Redbreast sunfish,107.35,54.68
pond_a,Lepomis auritus,Redbreast sunfish,114.36,60.68
pond_a,Lepomis auritus,Redbreast sunfish,122.55,59.87
pond_a,Lepomis auritus,Redbreast sunfish,133.27,65.82
pond_a,Lepomis auritus,Redbreast sunfish,124.42,60.03
pond_a,Lepomis auritus,Redbreast sunfish,124.43,61.42
pond_a,Lepomis auritus,Redbreast sunfish,145.30,74.08
pond_a,Lepomis auritus,Redbreast sunfish,111.31,58.43
pond_a,Lepomis auritus,Redbreast sunfish,126.76,64.64
pond_a,Lepomis auritus,Redbreast sunfish,130.84,60.20
pond_a,Lepomis auritus,Redbreast sunfish,120.66,55.22
pond_a,Lepomis auritus,Redbreast sunfish,117.51,59.08
pond_a,Lepomis auritus,Redbreast sunfish,139.23,67.95
pond_a,Lepomis auritus,Redbreast sunfish,112.50,56.69
pond_a,Lepomis auritus,Redbreast sunfish,118.86,61.02
pond_a,Lepomis auritus,Redbreast sunfish,109.97,57.41
pond_a,Lepomis auritus,Redbreast sunfish,117.38,60.68
pond_a,Lepomis auritus,Redbreast sunfish,113.26,55.94
pond_a,Lepomis auritus,Redbreast sunfish,109.55,54.20
pond_a,Lepomis auritus,Redbreast sunfish,120.87,60.04
pond_a,Lepomis auritus,Redbreast sunfish,117.67,57.34
pond_a,Lepomis auritus,Redbreast sunfish,121.57,53.55
pond_a,Lepomis auritus,Redbreast sunfish,116.07,56.96
pond_a,Lepomis auritus,Redbreast sunfish,143.03,71.50
pond_a,Lepomis auritus,Redbreast sunfish,117.41,60.05
