recordID,censusdate,period,plot,note1,stake,species,sex,reprod,age,testes,vagina,pregnant,nipples,lactation,hfl,wgt,tag,note2,ltag,note3,prevrt,prevlet,nestdir,neststk,note4,note5,pit_tag,id
1,1977-07-16,1,2,NA,16,NA,M,Z,NA,NA,NA,NA,NA,NA,32,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981505_NA_1
2,1977-07-16,1,3,NA,23,NA,M,Z,NA,NA,NA,NA,NA,NA,33,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981506_NA_1
3,1977-07-16,1,2,NA,25,DM,F,NA,NA,NA,NA,NA,NA,NA,37,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981507_DM_1
4,1977-07-16,1,7,NA,25,DM,M,Z,NA,NA,NA,NA,NA,NA,36,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981508_DM_1
5,1977-07-16,1,3,NA,26,DM,M,Z,NA,NA,NA,NA,NA,NA,35,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981509_DM_1
6,1977-07-16,1,1,NA,27,PF,M,NA,J,NA,NA,NA,NA,NA,14,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981510_PF_1
7,1977-07-16,1,2,NA,31,PE,F,NA,NA,NA,NA,P,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981511_PE_1
8,1977-07-16,1,1,NA,36,DM,M,NA,NA,S,NA,NA,NA,NA,37,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981512_DM_1
9,1977-07-16,1,1,NA,42,DM,F,Z,NA,NA,NA,NA,NA,NA,34,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981513_DM_1
10,1977-07-16,1,6,NA,46,PF,F,Z,NA,NA,NA,NA,NA,NA,20,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981514_PF_1
11,1977-07-16,1,5,NA,52,DS,F,Z,NA,NA,NA,NA,NA,NA,53,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981515_DS_1
12,1977-07-16,1,7,NA,53,DM,M,NA,NA,S,NA,NA,NA,NA,38,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981516_DM_1
13,1977-07-16,1,3,NA,55,DM,M,Z,NA,NA,NA,NA,NA,NA,35,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981517_DM_1
14,1977-07-16,1,8,1,55,DM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,E,FALSE,981518_DM_1
15,1977-07-16,1,6,NA,56,DM,F,Z,NA,NA,NA,NA,NA,NA,36,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981519_DM_1
16,1977-07-16,1,4,NA,66,DM,F,Z,NA,NA,NA,NA,NA,NA,36,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981520_DM_1
17,1977-07-16,1,3,NA,72,DS,F,Z,NA,NA,NA,NA,NA,NA,48,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981521_DS_1
18,1977-07-16,1,2,NA,73,PP,M,Z,NA,NA,NA,NA,NA,NA,22,NA,0,NA,0,NA,0,0,NA,0,NA,NA,FALSE,981522_PP_1
19,1977-07-16,1,4,1,76,PF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,E,FALSE,981523_PF_1
